"Metodo","Accuracy","Std_Acc","Precision","Std_Pre","Recall","Std_Rec","F1","Std_F1","Dataset"
"LDA_Simple",0.988,0.015,0.988,0.018,0.985,0.022,0.986,0.019,"1.2.penguins.csv"
"QDA",0.988,0.015,0.988,0.018,0.985,0.022,0.986,0.019,"1.2.penguins.csv"
"SVM_Radial",0.982,0.021,0.984,0.019,0.974,0.037,0.977,0.029,"1.2.penguins.csv"
"SVM_Poly2",0.876,0.056,0.894,0.047,0.884,0.056,0.886,0.052,"1.2.penguins.csv"
"SVM_Poly3",0.982,0.021,0.986,0.017,0.972,0.037,0.976,0.029,"1.2.penguins.csv"
"RF",0.968,0.03,0.963,0.036,0.963,0.04,0.961,0.038,"1.2.penguins.csv"
"LDA_Simple",0.766,0.047,0.786,0.031,0.882,0.075,0.829,0.041,"1.3.pimadiabetes.csv"
"QDA",0.746,0.053,0.782,0.045,0.848,0.059,0.813,0.041,"1.3.pimadiabetes.csv"
"SVM_Radial",0.742,0.034,0.79,0.036,0.826,0.049,0.806,0.027,"1.3.pimadiabetes.csv"
"SVM_Poly2",0.678,0.045,0.694,0.03,0.906,0.046,0.786,0.03,"1.3.pimadiabetes.csv"
"SVM_Poly3",0.715,0.037,0.738,0.027,0.874,0.053,0.799,0.028,"1.3.pimadiabetes.csv"
"RF",0.771,0.038,0.813,0.044,0.848,0.07,0.827,0.033,"1.3.pimadiabetes.csv"
"LDA_Simple",0.994,0.019,0.993,0.021,0.995,0.015,0.994,0.02,"1.4.wines.csv"
"QDA",0.989,0.024,0.991,0.019,0.99,0.022,0.99,0.022,"1.4.wines.csv"
"SVM_Radial",0.978,0.029,0.981,0.025,0.975,0.032,0.976,0.031,"1.4.wines.csv"
"SVM_Poly2",0.927,0.037,0.934,0.034,0.929,0.038,0.928,0.037,"1.4.wines.csv"
"SVM_Poly3",0.943,0.045,0.951,0.037,0.949,0.042,0.944,0.043,"1.4.wines.csv"
"RF",0.983,0.028,0.983,0.028,0.986,0.023,0.983,0.027,"1.4.wines.csv"
"LDA_Simple",0.347,0.067,0.325,0.082,0.347,0.067,0.352,0.055,"3.1.Cebolla3D.csv"
"QDA",0.94,0.049,0.945,0.046,0.94,0.049,0.94,0.049,"3.1.Cebolla3D.csv"
"SVM_Radial",0.987,0.023,0.987,0.023,0.987,0.023,0.987,0.023,"3.1.Cebolla3D.csv"
"SVM_Poly2",0.98,0.023,0.982,0.022,0.98,0.023,0.98,0.023,"3.1.Cebolla3D.csv"
"SVM_Poly3",0.503,0.09,0.596,0.121,0.503,0.09,0.479,0.102,"3.1.Cebolla3D.csv"
"RF",0.94,0.034,0.947,0.03,0.94,0.034,0.94,0.034,"3.1.Cebolla3D.csv"
"LDA_Simple",0.437,0.102,0.432,0.113,0.437,0.102,0.42,0.105,"3.2.Cebolla10D.csv"
"QDA",0.873,0.052,0.889,0.045,0.873,0.052,0.873,0.051,"3.2.Cebolla10D.csv"
"SVM_Radial",0.973,0.026,0.975,0.025,0.973,0.026,0.973,0.027,"3.2.Cebolla10D.csv"
"SVM_Poly2",0.897,0.048,0.902,0.049,0.897,0.048,0.895,0.05,"3.2.Cebolla10D.csv"
"SVM_Poly3",0.507,0.041,0.652,0.074,0.507,0.041,0.454,0.057,"3.2.Cebolla10D.csv"
"RF",0.847,0.045,0.852,0.047,0.847,0.045,0.846,0.046,"3.2.Cebolla10D.csv"
"LDA_Simple",0.5,0.08,0.494,0.08,0.5,0.08,0.483,0.087,"3.3.Cebolla20D.csv"
"QDA",0.853,0.071,0.873,0.061,0.853,0.071,0.851,0.072,"3.3.Cebolla20D.csv"
"SVM_Radial",0.99,0.016,0.991,0.015,0.99,0.016,0.99,0.016,"3.3.Cebolla20D.csv"
"SVM_Poly2",0.897,0.029,0.909,0.025,0.897,0.029,0.896,0.03,"3.3.Cebolla20D.csv"
"SVM_Poly3",0.387,0.042,0.422,0.145,0.387,0.042,0.407,0.078,"3.3.Cebolla20D.csv"
"RF",0.863,0.085,0.875,0.085,0.863,0.085,0.864,0.085,"3.3.Cebolla20D.csv"
"LDA_Simple",0.961,0.032,0.948,0.041,0.994,0.012,0.97,0.024,"4.1.CancerWisconsin.csv"
"QDA",0.958,0.024,0.967,0.025,0.966,0.026,0.966,0.019,"4.1.CancerWisconsin.csv"
"SVM_Radial",0.97,0.027,0.971,0.038,0.983,0.024,0.976,0.02,"4.1.CancerWisconsin.csv"
"SVM_Poly2",0.866,0.04,0.851,0.043,0.958,0.038,0.9,0.028,"4.1.CancerWisconsin.csv"
"SVM_Poly3",0.96,0.026,0.943,0.035,0.997,0.009,0.969,0.02,"4.1.CancerWisconsin.csv"
"RF",0.961,0.025,0.963,0.037,0.977,0.029,0.97,0.019,"4.1.CancerWisconsin.csv"
"LDA_Simple",0.86,0.056,0.964,0.061,0.645,0.175,0.757,0.119,"4.2.Ionosphere.csv"
"QDA",NA,NA,NA,NA,NA,NA,NA,NA,"4.2.Ionosphere.csv"
"SVM_Radial",0.952,0.03,0.977,0.05,0.89,0.075,0.929,0.045,"4.2.Ionosphere.csv"
"SVM_Poly2",0.923,0.041,0.982,0.039,0.8,0.112,0.877,0.074,"4.2.Ionosphere.csv"
"SVM_Poly3",0.838,0.036,0.963,0.06,0.573,0.092,0.714,0.073,"4.2.Ionosphere.csv"
"RF",0.934,0.036,0.942,0.055,0.872,0.08,0.904,0.056,"4.2.Ionosphere.csv"
