"Dataset","W_Shapiro","P_Shapiro","Normalidad","W_Mauchly","P_Mauchly","Esfericidad"
"penguins",0.954,0.001,"No",0.256,0.001,"No"
"pimadiabetes",0.98,0.076,"Si",0.655,0.239,"Si"
"wines",0.981,0.084,"Si",0.128,0.001,"No"
"Cebolla3D",0.978,0.051,"Si",0.813,0.771,"Si"
"Cebolla10D",0.967,0.005,"No",0.397,0.003,"No"
"Cebolla20D",0.988,0.384,"Si",0.237,0.001,"No"
"CancerWisconsin",0.987,0.33,"Si",0.58,0.093,"Si"
"Ionosphere",0.987,0.312,"Si",0.656,0.241,"Si"
"indicadores2015",0.992,0.74,"Si",0.015,0.001,"No"
"indicadores2020",0.98,0.064,"Si",0.088,0.001,"No"
