"Dataset","Metodo_Prueba","Estadistico_Chi2","Grados_Libertad","P_Valor","Significativo"
"1.2.penguins","Friedman rank sum test",53.9343,6,0,"Si"
"1.3.pimadiabetes","Friedman rank sum test",72.0823,6,0,"Si"
"1.4.wines","Friedman rank sum test",89.4278,6,0,"Si"
"3.1.Cebolla3D","Friedman rank sum test",141.0963,6,0,"Si"
"3.2.Cebolla10D","Friedman rank sum test",140.2299,6,0,"Si"
"3.3.Cebolla20D","Friedman rank sum test",166.8886,6,0,"Si"
"4.1.CancerWisconsin","Friedman rank sum test",58.8748,6,0,"Si"
"4.2.Ionosphere","Friedman rank sum test",93.8052,5,0,"Si"
"5.4.indicadores2015","Friedman rank sum test",166.7429,6,0,"Si"
"5.5.indicadores2020","Friedman rank sum test",165,6,0,"Si"
