Dataset,Acc_Min,Acc_Max,Acc_Median,Acc_Mean,Acc_Std,Tiempo_Promedio,Tiempo_Std
1.2.penguins_res_gnlpda.csv,0.94,1,0.98,0.98,0.01,4.68,5.68
1.3.pimadiabetes_res_gnlpda.csv,0.72,0.81,0.77,0.77,0.02,515.97,292.13
1.4.wines_res_gnlpda.csv,0.83,1,0.94,0.94,0.04,882.39,441.21
3.1.Cebolla3D_res_gnlpda.csv,0.93,0.99,0.97,0.97,0.02,3.83,4.65
3.2.Cebolla10D_res_gnlpda.csv,0.82,0.97,0.9,0.9,0.03,2238.17,1102.28
3.3.Cebolla20D_res_gnlpda.csv,0.71,0.93,0.83,0.82,0.05,1772.73,596.16
4.1.CancerWisconsin_res_gnlpda.csv,0.94,0.98,0.96,0.96,0.01,2496.78,958.95
4.2.Ionosphere_res_gnlpda.csv,0.84,0.95,0.89,0.89,0.03,3221.6,1585.83
5.4.indicadores2015_res_gnlpda.csv,0.9,0.94,0.92,0.92,0.01,1245.84,321.24
5.5.indicadores2020_res_gnlpda.csv,0.91,0.96,0.93,0.93,0.01,715.43,39.82
