"Corrida","Sigma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,2.56957217477682e-06,0.941176470588235,0.872238088080565,0.954128440366973,0.97196261682243,0.936936936936937,123.63
2,2.56957217477682e-05,0.929411764705882,0.84966838614591,0.943396226415094,0.934579439252336,0.952380952380952,104.34
3,2.56957217477682e-05,0.941176470588235,0.87138750189136,0.954545454545454,0.981308411214953,0.929203539823009,133.3
4,2.56957217477682e-06,0.952941176470588,0.897110001513088,0.963636363636364,0.990654205607477,0.938053097345133,124.53
5,2.56957217477682e-06,0.964705882352941,0.923342852848339,0.972477064220184,0.990654205607477,0.954954954954955,106.73
6,2.56957217477682e-06,0.941176470588235,0.87307749738689,0.953703703703704,0.962616822429907,0.944954128440367,130.93
7,2.56957217477682e-05,0.964705882352941,0.923342852848339,0.972477064220184,0.990654205607477,0.954954954954955,124.65
8,2.56957217477682e-06,0.947058823529412,0.885393258426966,0.95852534562212,0.97196261682243,0.945454545454545,106.67
9,2.56957217477682e-06,0.952941176470588,0.898461997909512,0.962962962962963,0.97196261682243,0.954128440366973,132.53
10,2.56957217477682e-05,0.941176470588235,0.873905948672304,0.953271028037383,0.953271028037383,0.953271028037383,124.16
11,2.56957217477682e-06,0.952941176470588,0.898461997909512,0.962962962962963,0.97196261682243,0.954128440366973,107.53
12,2.56957217477682e-06,0.958823529411765,0.909670563230606,0.968325791855204,1,0.93859649122807,131.67
13,2.56957217477682e-05,0.958823529411765,0.912021292325891,0.967136150234742,0.962616822429907,0.971698113207547,124.15
14,2.56957217477682e-06,0.970588235294118,0.936329588014981,0.976958525345622,0.990654205607477,0.963636363636364,102.9
15,2.56957217477682e-06,0.970588235294118,0.936329588014981,0.976958525345622,0.990654205607477,0.963636363636364,133.33
16,2.56957217477682e-06,0.976470588235294,0.949562379468921,0.981308411214953,0.981308411214953,0.981308411214953,124.01
17,2.56957217477682e-06,0.952941176470588,0.897790470464452,0.963302752293578,0.981308411214953,0.945945945945946,107.35
18,2.56957217477682e-05,0.947058823529412,0.886884518704717,0.957746478873239,0.953271028037383,0.962264150943396,132.08
19,2.56957217477682e-06,0.976470588235294,0.949230998954756,0.981481481481482,0.990654205607477,0.972477064220184,123.95
20,2.56957217477682e-06,0.952941176470588,0.898461997909512,0.962962962962963,0.97196261682243,0.954128440366973,105.33
21,2.56957217477682e-06,0.958823529411765,0.910861423220974,0.967741935483871,0.981308411214953,0.954545454545455,132.8
22,2.56957217477682e-06,0.958823529411765,0.911445155529097,0.967441860465116,0.97196261682243,0.962962962962963,124.3
23,2.56957217477682e-06,0.958823529411765,0.911445155529097,0.967441860465116,0.97196261682243,0.962962962962963,107.62
24,2.56957217477682e-05,0.982352941176471,0.962047923798184,0.986046511627907,0.990654205607477,0.981481481481482,131.4
25,2.56957217477682e-06,0.952941176470588,0.898461997909512,0.962962962962963,0.97196261682243,0.954128440366973,123.85
26,2.56957217477682e-06,0.958823529411765,0.912021292325891,0.967136150234742,0.962616822429907,0.971698113207547,103.46
27,2.56957217477682e-05,0.917647058823529,0.819942502647904,0.936363636363636,0.962616822429907,0.911504424778761,130.84
28,2.56957217477682e-05,0.929411764705882,0.848687138406765,0.94392523364486,0.94392523364486,0.94392523364486,124.11
29,2.56957217477682e-05,0.947058823529412,0.886143771394553,0.958139534883721,0.962616822429907,0.953703703703704,106.3
30,2.56957217477682e-06,0.935294117647059,0.862641398560306,0.947867298578199,0.934579439252336,0.961538461538462,132.97
31,2.56957217477682e-06,0.935294117647059,0.858053742219523,0.950226244343891,0.981308411214953,0.921052631578947,125.43
32,2.56957217477682e-06,0.952941176470588,0.898461997909512,0.962962962962963,0.97196261682243,0.954128440366973,111.69
33,2.56957217477682e-06,0.947058823529412,0.885393258426966,0.95852534562212,0.97196261682243,0.945454545454545,128.12
